,interest,country_code,citizenship,gender,is_denominator,language,max_age,min_age,scholarity,audience,age_range
82008,shopping,DZ,Locals,Male,False,Arabic,24.0,18,ND,1000000,18-24
82010,shopping,EG,Locals,Male,False,Arabic,24.0,18,ND,2100000,18-24
82011,shopping,IQ,Locals,Male,False,Arabic,24.0,18,ND,1300000,18-24
82012,shopping,JO,Locals,Male,False,Arabic,24.0,18,ND,230000,18-24
82013,shopping,KW,Locals,Male,False,Arabic,24.0,18,ND,20000,18-24
82014,shopping,LB,Locals,Male,False,Arabic,24.0,18,ND,130000,18-24
82015,shopping,LY,Locals,Male,False,Arabic,24.0,18,ND,110000,18-24
82016,shopping,MA,Locals,Male,False,Arabic,24.0,18,ND,810000,18-24
82017,shopping,OM,Locals,Male,False,Arabic,24.0,18,ND,30000,18-24
82018,shopping,QA,Locals,Male,False,Arabic,24.0,18,ND,3900,18-24
82019,shopping,SA,Locals,Male,False,Arabic,24.0,18,ND,820000,18-24
82020,shopping,SO,Locals,Male,False,Arabic,24.0,18,ND,13000,18-24
82021,shopping,TN,Locals,Male,False,Arabic,24.0,18,ND,290000,18-24
82022,shopping,AE,Locals,Male,False,Arabic,24.0,18,ND,34000,18-24
82023,shopping,YE,Locals,Male,False,Arabic,24.0,18,ND,140000,18-24
82024,shopping,PS,Locals,Male,False,Arabic,24.0,18,ND,51000,18-24
82025,shopping,DZ,Locals,Male,False,English,24.0,18,ND,66000,18-24
82027,shopping,EG,Locals,Male,False,English,24.0,18,ND,230000,18-24
82028,shopping,IQ,Locals,Male,False,English,24.0,18,ND,180000,18-24
82029,shopping,JO,Locals,Male,False,English,24.0,18,ND,37000,18-24
82030,shopping,KW,Locals,Male,False,English,24.0,18,ND,34000,18-24
82031,shopping,LB,Locals,Male,False,English,24.0,18,ND,90000,18-24
82032,shopping,LY,Locals,Male,False,English,24.0,18,ND,11000,18-24
82033,shopping,MA,Locals,Male,False,English,24.0,18,ND,83000,18-24
82034,shopping,OM,Locals,Male,False,English,24.0,18,ND,31000,18-24
82035,shopping,QA,Locals,Male,False,English,24.0,18,ND,24000,18-24
82036,shopping,SA,Locals,Male,False,English,24.0,18,ND,1200000,18-24
82037,shopping,SO,Locals,Male,False,English,24.0,18,ND,45000,18-24
82038,shopping,TN,Locals,Male,False,English,24.0,18,ND,42000,18-24
82039,shopping,AE,Locals,Male,False,English,24.0,18,ND,150000,18-24
82040,shopping,YE,Locals,Male,False,English,24.0,18,ND,6500,18-24
